RegionName,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12
United States,166240.0,167257.0,168378.0,169544.0,170775.0,172061.0,173381.0,174704.0,175988.0,177202.0,178297.0,179310.0,180257.0,181171.0,181894.0,182489.0,183025.0,183619.0,184202.0,184710.0,185208.0,185791.0,186501.0,187246.0,187959.0,188694.0,189549.0,190437.0,191335.0,192135.0,192928.0,193772.0,194649.0,195504.0,196279.0,197133.0,198063.0,199017.0,199862.0,200742.0,201637.0,202609.0,203601.0,204606.0,205617.0,206636.0,207726.0,208788.0,209831.0,210852.0,211954.0,213116.0,214270,215426,216528,217653,218821,220049,221308,222545,223724,224942,226185,227446,228649,229776,230867,231904,232874,233773,234640,235486,236301,237027,237700,238348,239027,239738,240490,241256,242034,242819,243584,244366
"Houston, TX",146423.0,147271.0,148622.0,150200.0,151712.0,152958.0,154163.0,155416.0,156769.0,158274.0,159765.0,161158.0,162469.0,163774.0,164718.0,165551.0,166356.0,167661.0,169123.0,170838.0,172509.0,173986.0,175313.0,176687.0,178017.0,179241.0,180640.0,182059.0,183408.0,184458.0,185188.0,185816.0,186453.0,187383.0,188098.0,188731.0,189565.0,190381.0,190906.0,191139.0,191686.0,192336.0,193145.0,193624.0,194062.0,194352.0,195128.0,196023.0,196523.0,197074.0,197750.0,198569.0,199066,199509,199922,200266,200655,201089,201620,202117,202658,203144,203807,204931,206046,206893,207494,208389,209383,210152,210639,211079,212029,212964,213671,213874,214157,214632,215245,215687,215980,216383,216797,217177
