"RegionID","RegionName","SizeRank","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05","2019-06","2019-07","2019-08","2019-09","2019-10","2019-11","2019-12"
395231,"Wilson, NC",437,6.06428138265616,5.40207860699363,5.0674499564839,5.61733860078278,6.79104181937043,4.72143531633616,6.99999999999999,4.48756822316555,6.94985084400466,5.26592943654555,4.85714285714286,3.8847249557105,4.21533773489081,5.46448087431694,6.28152847895866,3.30220146764509,5.74022104994609,5.88581518540318,4.17536534446764,5.13684673458916,5.34440571921832,4.65332712889717,3.33555703802535,5.40540540540541,3.77640920366094,4.85714285714286,6.99790062981106,5.62667719938197,4.42477876106194,4.91049579886526,3.9402882953026,4.74119182253153,5.88581518540318,6.28125954680755,4.12470023980815,4.5662100456621,5.19685194942045,5.5581288110125,4.00789068514242,5,5.01506531657285,5.3115361468442,5.94464075382803,3.93726685196534,4.76530882425741,4.00662347752325,3.92156862745098,3.88609581334755,4.50856627592425,4.78106093258624,5.98945962231907,5.48202454817241,6.74091357544595,5.00250125062531,4.92063852265364,5.4127198917456,4.85657417164266,2.94290759270159,4.0016006402561,4.07405565776606,3.39034676663543,6.78195998643608,7.12605852445287,6.6711140760507,3.57782898105479,4.44543231829295,5.16164427059715,4.18821465674566,3.22916666666667,3.86100386100386,3.00978179082017,4.56122742922986,5.13282957268108,4.29512516469038,3.63889024569591,5.88928150765606,3.57270453733476,3.87722132471728,2.93643279797126,3.70507595405706,3.73593398349588,4.44956584823151,3.82800192158694,4.29308636855806,4.44691632678284,4.76644423260247,3.53414159285407,5.8779367602897,4.2449969678593,4.00829024423552,3.08496536880649,3.63855421686747,3.53366409662437,4.12007062978222,5.00943936789409,4.03853278992219,3.57270453733476,4.87482673757461,3.48816686852724,7.70416024653313,2.96305729919548,3.51349406261245,3.69006136068437,3.4494653328734,3.69477911646586,4.16840350145894,2.79953120881157,3.37416483886229,3.70644922164566,2.81864063122299,5.41728145087458,4.08183734008585
394511,"Cullman, AL",438,6.61764705882353,7.61904761904761,8.34028356964137,5.26593920859976,6.67556742323098,6.25390869293309,6.10734650332929,5.94797779498487,5.77862204388286,5.56173526140156,6.25390869293309,6.80576353456498,5.16586477589263,5.82215958602967,6.8881527571353,5.70343209235653,4.89807602213805,5.25925925925926,7.03355792054696,5.08379888268157,4.85714285714286,5.93837116135154,5.00834724540902,4.97649412353088,6.11764705882353,5.50505050505051,6.32911392405063,6.45577792123951,6.60893833298938,5.71591883395256,5.55709962324749,4.88235294117647,5.20578071320988,5.10727951421383,4.15584415584416,5.08438818565401,5.70156608284139,6.0434372049103,4.55580865603644,4.54202463748352,3.84911470361817,3.48947352792707,3.70644922164566,4.76417341591234,4.00320256204964,4.1291915257806,4.54502382736764,4.80974347499297,4.25614524375906,5.23817596202746,4.16666666666666,6.17977528089888,4.75113496280728,4.76303881876637,4.52809601745772,4.14141414141415,4.54338197462463,3.95242618641752,4.85714285714286,3.74531835205992,4.75329794105424,4.00320256204964,4.39847577572128,6.2015503875969,4.9,6.14035087719298,5.2645436656412,5.08379888268157,4.36170212765957,4.22654268808115,4.54752254115312,5.02695248840416,4.95495495495495,4.76417341591234,4.77670582557442,5,3.04878048780488,5.0251256281407,4.07652527919899,4.36474718704637,3.41781794033182,3.47222222222222,4.04040404040404,3.92535767193714,3.45065562456867,5.55709962324749,4.08420175072947,4.82924754713063,5.79794173068561,4.2870652918857,4.3734983331722,3.28657724617883,3.9779299847793,3.57192899478251,3.74710174479271,3.84837420444472,4.76417341591234,4.54959053685169,4.1162948884528,4.00801603206413,5.26592943654555,4.77479526842585,4.08080032012805,3.84911470361817,4.55063160074549,3.81854345346735,3.53277449260727,3.22788896061975,3.62804346765368,3.56693895366964,2.85755107872553,4.34971726837755
394936,"Olean, NY",439,5.25245131417677,5.97154870667188,5.26315789473685,6.05427974947808,6.875,6.25390869293309,6.70937887606144,7.14796283059328,5.00250125062531,6.14035087719298,5.94464075382803,6.62447257383966,6.45161290322581,5.88581518540318,8.84344881479552,6.46930771996622,6.05826281490127,5.71591883395256,5.28949249463903,7.19633576369415,7.43754177230572,4.18410041841004,6.36653024101864,5.44916621839699,4.97839927239654,7.44186046511628,5.68733153638814,5.43735224586288,4.25,3.50877192982456,4.65816080885893,5.00125031257814,5.92473979183347,6.68523676880223,6.37380786018276,5.26662359985477,5,6.4055236532677,6.53846153846154,6.6711140760507,6.9879294211765,6.27615062761506,5.26315789473685,4.93386243386244,4.04497075558695,4.2589839358886,5.55555555555556,6.18577787587831,6.17283950617284,5.25252525252525,6.00333704115684,6.60899653979239,5.00125031257814,5.64005784674715,5.22055884597217,5,4.76462809839306,5.89759370678098,5.29100529100529,6.67556742323098,5.45454545454546,5.88928150765606,5.75471698113208,5.51653739044448,5.72246065808297,6.38978070414105,5.86264656616415,6.29346810094897,5.25781845919146,5.56173526140156,5.01381343938301,5.93837116135154,6.6711140760507,6.6711140760507,6.25,6.56565656565656,4.46428571428571,4.54773869346734,5.79124579124579,5.58888011926686,5.88928150765606,5.00646983199324,5.66650407637099,5.61738528453481,5.05561172901922,5.24341966729838,4.58428506167199,7.13980767369067,6.20000000000001,6.51499890148891,5.69676908140443,5.88235294117647,5.577567950151,5.07293718674414,5.005005005005,6.25782227784731,6.26370737716817,6.80510213041083,4.66008914726663,5.64516129032258,6.71140939597316,6.6471362296011,5.4124465780692,6.89893066574681,6.10738255033557,6.25390869293309,6.25,6.30048465266559,5.00583531303833,5.08173277454466,4.95245245245246,4.9765025715627
394350,"Auburn, NY",440,6.49922362869199,7.70416024653313,7.83197414986921,7.89923873064751,9.6989966555184,6.05892162312396,5.16202908184403,4.65594938902851,5.63646470261256,5.72165217108759,5.58659217877095,4.87023531203603,5.72478804766705,5.86079004372285,3.58009415592419,5.55864369093941,5.28057247078236,7.15307582260372,6.20192307692308,5.23898898898899,5.26852225359688,5.35226296388681,4.83567456875369,5.00375312781516,4.00240160115287,5.50913245427299,8.55995741256432,5.44464075382803,4.08580303175429,6.89655172413793,4.00320256204964,4.17536534446764,5.48387096774193,5.56173526140156,4.18410041841004,5.55864369093941,5.04183416229474,5.36842105263158,5.77507598784195,7.10751879699248,6.61475713756025,2.69146028783712,4.8159491418186,4.0016006402561,5.33333333333333,4.58333333333333,4.92537313432836,5.55864369093941,5.36851683348498,4.68545749447303,4.54959053685169,6.6510899754737,5.71428571428572,5.0561797752809,5.47524530407494,5.72377522340237,4.18410041841004,4.15946288096542,5.20446096654275,5.02002958981926,5.20725074873434,5.26592943654555,4.26505281455926,6.67556742323098,5.88304506412519,6.34245431964682,4.16927264313981,4.31244914564687,5.06329113924051,4.17014178482068,5.35158849377378,4.28571428571428,5.14483446450468,6.28930817610063,5.98168116406783,4.93386243386244,5.16215781393005,5.3345344072347,5.88928150765606,4.46350007470988,4.45716691390092,5.88581518540318,6.91409806216673,6.25,5.96610169491525,5.34827034827035,5.420054200542,6.91195410373492,7.58892222852973,6.3951965762831,7.70416024653313,5.51671732522797,5.26157800437136,4.12535391435436,4.54959053685169,4,4.63925262768368,4.55100953211487,5.56173526140156,5.88928150765606,5.90782197716732,7.05426356589147,4.32034616887396,4.52120433334504,4.31427243142724,4.10571308169286,3.95703787450538,4.17014178482068,4.17014178482068,4.76417341591234,4.49438202247191,6.18577787587831
394345,"Athens, TX",442,5.42134385258922,5.88466065123577,5.66037735849056,4.78798402106314,5.00166722240747,5.50305725403002,5.72873940388297,5.78616352201258,5.82925613844342,5.6710775047259,5.27708159287107,5.1593680462117,5.78061975492726,6.56273199703044,6.39658848614072,6.38656419942037,7.72307692307692,5.00508905852417,6.203125,5.73065902578796,5.04030634058083,5,4.69973890339426,5.13325730891969,5.3674832962138,7.44186046511628,5.88928150765606,5.33136094674557,5.66253231009678,5.09865255052936,5.0251256281407,5.0125313283208,4.95247623811906,5,5.64710442644945,5.9748427672956,5.47656661400737,4.89271530169286,5.45272636318159,5.90934663618097,5,6.01503759398496,4.77326968973747,5.01792114695341,5.21859545004946,4.85714285714286,4.68227424749164,4.35826474772589,4.83870967741935,5.0125313283208,5.13966480446927,5.12545342166482,4.37158469945356,5.12820512820513,4.15694696436726,5.30154017891992,4.6242774566474,4.70553211679172,4.72322383170199,5.56018947617049,4.78359908883826,5.84905660377358,5.12794742945497,5.76295448038935,4.09602742522237,4.307072623288,4.66531440162272,4.31290076709532,4.37830593138775,4.07489867860906,4.44659357987429,4.18029370270617,4.54959053685169,4.92268645060523,5.13966480446927,4.2193675889328,4.89129836637551,4.52672806358183,4.61852616811504,5.59750366365153,4.71333437386192,4.15694696436726,4.03846153846153,4.49943757030371,4.00320256204964,5.0999050999051,3.57846696400788,4.36974789915966,5.29100529100529,4.49438202247191,4.25531914893616,3.86100386100386,4.34842249657064,4.27098674521354,4.20282769017643,3.85852249605463,3.67003367003367,3.77903106732666,4.17882528993641,4.98735984587325,4.40653133274493,3.75,4.16,3.71747211895911,4.16,4.1339567716051,4.00480833616012,3.81284847837599,4.0729288836763,4.93470814279007,4.18410041841004,5.25065633204151
394925,"Oak Harbor, WA",443,4.84261501210653,4.90243902439025,5.32172859766343,5.26627720274325,5.00031253906739,5,5.00062515628907,4.63917525773195,5.01193317422435,4.44117647058824,4.79591836734694,5.03924719450341,5.19547993245876,4.52173913043479,4.95538385800658,5.37527618831794,5.2213320728935,5,4.34782608695652,4.26951300867244,4.83870967741935,3.975987993997,4.77386390699084,4.47761194029851,5,4.32037768994291,4.34782608695652,4.48756822316555,4.1095890410959,4.80961923847696,4.8089812882982,4.47457556461111,4.48888888888889,4.10139754293304,4.27074308817047,3.92233771327711,4.16840350145894,4.63344862809349,4.53484486873509,4.97297297297298,5,4.23750475465957,4.20048394414478,4.12979351032449,4.20841683366734,3.57274669989454,3.99079631852741,3.72696817420436,3.75596074483033,3.67334547662417,3.89972144846796,4.60070780120019,3.53448275862069,4.14124073186547,4.19033405030508,3.03030303030303,3.31319439799076,3.39256865912763,3.55191256830601,3.08104747843655,3.12891113892365,3.16045380875203,3.50877192982456,3.55510411376333,3.55329109135615,3.03951367781155,3.47905282331512,3.17475009255832,3.27868852459017,3.03076223670253,3.10333204930662,3.01650744134659,2.80561122244489,2.55260434632631,2.52100840336135,2.88170606372045,2.76231304182147,2.72108843537415,2.73972602739726,2.68168002210555,3.18906605922551,2.88633075863816,3.11665250121418,3.25508976650591,3.13911154861795,2.85234305923961,3.03030303030303,3.03643724696356,2.76068600478697,2.56410256410257,2.56436054588832,2.63505068740453,3.06184935701164,2.94117647058824,3.00689406909138,3.2258064516129,3.01507537688442,2.50083362858222,2.71002710027101,2.94160912379073,2.96162692205924,2.23973392631283,2.96746356712015,2.63203463203463,2.75054466230937,2.88091400409997,2.84388053467001,2.9761940192786,2.87622035912143,2.94840294840295,2.23776223776224,3.08817622693611
394465,"Chillicothe, OH",444,5.12155012155012,6.34711241623372,5.88754834652962,7.73809523809524,11.7785630153121,7.15307582260372,7.70416024653313,5.26870389884089,4.73425499231951,6.52038697019924,5.56173526140156,5.25778069682807,6.09139132320876,4.60306871247498,6.90740740740741,6.99622463426144,6.25003906274414,6.15295933554281,5.29515455304929,5.40832882639265,6.11940298507463,4.0466093539488,4.50396825396825,5.58659217877095,4.43478260869565,5.38461538461539,4.95677888989991,5.6710775047259,5.0706940874036,4.97619047619048,5.6077973489903,4.44976076555024,4.07177363699103,4.9049049049049,4.35615126854955,4.95238095238095,4.15224913494809,5.00250125062531,7.20930232558139,7.85907859078591,6.68896321070234,6.43101396061976,5.26870389884089,4.28571428571428,4.40171483810226,4.2571306939123,4.32796306460465,5.00250125062531,4.76417341591234,5.26870389884089,4.58473767885533,6.83834048640916,4.63472009041159,2.98314902580306,3.70370370370371,4.34971726837755,4.39925571504519,5.17308040542855,4.3308791684712,4.4041579972461,4.5034830163363,3.84911470361817,5.005005005005,4.00630948561651,3.88538125303546,3.33555703802535,3.03522126802326,3.31938786744467,3.70644922164566,5.26592943654555,3.74331550802139,4.22955600802457,3.98001973131966,4.41176470588235,4.37515523203607,3.15670828287168,4.3010752688172,2.92710892710892,6.25782227784731,3.71681415929204,2.97339593114241,3.33611342785655,3.62825214213218,3.58241997299908,3.92645437000276,4.09169068826589,4.34782608695652,3.61221868256089,3.28458498023715,5.26592943654555,4.49496178091428,4.39182571326107,3.56943271167717,3.87050329775503,4.35550323719835,3.57398141529665,3.98655794415616,3.37698620569233,3.33586050037907,3.85212624092458,4.10581265763388,3.28727194213538,3.84775993841756,3.29461674921744,4.11522633744856,4.1289328085001,3.81393379239238,3.65837346174425,3.50877192982456,3.46622673890598,3.50175087543771,4.51220575121857
394682,"Hinesville, GA",445,5.28760790866054,4.97242297451503,4.18300653594771,4.55062571103527,4.82993197278911,4.93662441627751,4.08420175072947,4.06153846153846,3.39368225318625,3.61160446619357,4.28090428090429,3.55212355212355,4.76644423260247,4.04040404040404,4.51904454486766,5.34979423868313,6.03428508017725,5,4.16840350145894,5.00417362270451,5.27704485488126,5.00467406720087,3.85692450156754,4.78576200019086,4.43445665623408,5.78098943857699,5.51518958050974,6.66666666666667,5.71973307912298,6.25782227784731,6.66666666666667,5.88754834652962,6.70120898100173,6.54229336944431,5.01506531657285,5.39376836470485,5.005005005005,4.337899543379,5.11811023622047,5.65217391304348,4.45859872611465,2.60471564271946,3.77777777777778,3.45224395857308,3.87096774193548,4,4.423273657289,3.57270453733476,5.36842105263158,5.08474576271186,5.1659975190407,4.02287224717132,4.34971726837755,4.17014178482068,4.09365149022984,3.74923014029745,3.17626371349304,3.51183626500082,4.12844036697247,3.90561700099528,2.91030271721411,4.11146642302421,3.00751879699248,4.6957671957672,3.84763370527126,3.79260356935764,4.34782608695652,3.37019483938915,3.33611342785655,3.51454694075263,4.1025641025641,2.92682926829269,2.50166784810253,3.16333118140736,3.51168008095171,4.2571306939123,2.95147573786894,4.17014178482068,2.38636363636364,2.49452775168072,3.12271464092438,2.39766081871345,2.64509174797607,2.54452926208651,3.2163338453661,3.42272982466927,4.08628673531589,2.91840381179274,2.85877644368211,2.67483352934949,3.03214069132808,2.26370812886708,2.54952333787297,2.59927797833935,2.69360269360269,2.91545189504373,2.50125062531266,3.60517252583014,3.84763370527126,2.98507462686567,2.95299207978879,1.92570362247745,2.94117647058824,3.16455696202531,2.4390243902439,3.03131369374574,2.44572017585171,2.27947637824406,2.50125062531266,2.32558139534884,2.06438068579426,1.84162062615101
