RegionID,RegionName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01
394778,"Lawrence, KS",310,171300,175400,172700,171600,164900,159200,162500,164100,165900,160600,154300,144800,145100,160900,171600,170800,160700,156000,152600,155200,152400,153600,147900,147500,151900,166100,169100,164600,162200,168900,171600,165900,162900,166000,171200,178600,174700,173400,167500,167900,160100,154700,146000,149200,156900,167400,153600,145900,145200,157000,158200,156500,161300,157500,156500,152000,153200,156200,161400,168700,171600,174000,170500,167700,164700,169800,173400,169100,168700,163700,160400,159500,160200,162200,159700,160200,164900,166100,166000,166900,165600,166900,161400,158500,153200,153100,156100,160400,163200,164100,168700,172400,164800,167900,170000,170400,168500,169200,176700,174800,175200,178300,174000,168600,165500,166900,170800,173100,173900,182600,187500,189800,181500,177800,179900,180500,175200,174400,183000,192400,199400,208300,211100,210100,193900,187100,182700,193300,200400,204500,201400,203300,203000,206500,203200,211100,210500,215700,216700,215500,210700,210300,212000
394867,"Missoula, MT",311,238100,233900,219400,221200,225800,223200,220600,211200,223400,226200,244700,247800,251900,240500,222500,215300,211400,209800,209000,209000,212300,212800,218800,218400,225000,215100,212000,208500,216900,225200,221500,221700,229700,238400,242900,233300,225500,217500,209900,211100,210600,213200,211400,216100,218500,221800,216700,220100,217600,221900,218300,217100,214100,215300,218000,216500,213500,218000,221600,221500,218000,227000,230600,238300,233100,240300,233600,232300,222900,224300,222700,225600,227800,229700,230700,227800,230300,237700,242200,235400,232600,232000,239600,241300,241900,243100,249400,251800,251800,245700,245000,244100,248400,241500,245600,243900,251200,252800,255200,261100,263100,259200,263300,266700,274300,275100,276100,277000,276700,279000,277600,279300,270700,272600,267800,275600,274500,279400,281300,291400,294800,293100,295800,295200,295600,286400,287600,290100,290400,300300,305800,318100,308000,303400,299600,308200,315200,319100,324300,322200,327600,326500,336800
394369,"Bay City, MI",312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51100,55300,59100,64300,64700,63700,63500,64300,60200,65200,62900,65400,60300,63700,66100,66800,66900,66100,68600,64800,65000,62100,64300,65900,70500,68500,68900,71400,72800,73300,68000,72400,71500,76700,74800,73600,74600,75100,75200,73200,73100,74500,73500,71200,70900,69600,75100,77900,78300,75200,72200,73700,74400,74300,73100,73200,75600,74900,73500,72800,75700,79500,79300,78400,76000,78100,80400,84400,89200,91400,89900,84000,80100,78400,81900,82900,85900,83800,87400,86900,93100,89100,86500,79100,82800,86000,89400,88900,88900,88400,92500,93500,95700
394788,"Lewiston, ME",313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152500,155100,154800,154400,147800,150700,151300,152100,152200,157400,160600,162900,164400,165700,164500,160800,158000,159000,161700,170900,173200,173700,164200,158900,160500,170400,178100,182000,178200,181200,175300,179800
395039,"Roseburg, OR",314,177000,174900,167600,159500,155100,158400,165700,166700,160900,150800,155000,158000,155700,148000,139200,142000,142800,143600,137700,138300,137400,141600,140100,144000,144700,146400,144400,136300,128800,126000,128600,131600,128400,126500,127100,124900,125600,122400,123700,119100,121300,120600,125600,127700,128400,127700,133200,129100,131200,122900,128800,123500,114000,108300,111400,119400,122500,120600,116600,106100,109400,112000,125800,127100,130000,130900,132400,128300,131400,132800,141500,137800,137200,129700,133700,130900,137600,137900,141500,140800,136000,136200,133300,139000,138000,146400,141700,149500,142500,146400,143400,148200,150000,147700,148300,143000,145700,144100,152300,153300,155300,163000,164100,162600,156500,158300,162100,165200,166400,168700,167600,167200,166300,167400,169600,174100,174900,172600,178700,178900,183600,179300,178600,180100,179700,179800,175600,174900,177900,186600,192600,197800,192600,180900,178100,182900,192400,194500,199500,208100,205500,208100,214800
395139,"Sumter, SC",315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106100,98900,103600,92800,100600,101100,108000,109100,109500,110500,105600,111300,106000,103400,116300,122000,137000,127100,128200,122200,119400,114700,113100,109400,114400,120600,117600,115600,108000,120500,119800,123000,119700,124700,127500,129400,133200,125600,
395095,"Show Low, AZ",316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149900,159200,138100,128200,131100,133100,140400,128600,130400,130800,145800,152300,154300,141000,125800,127800,132700,149500,149500,151700,149700,149200,151400,150200,156700,157400,159100,152100,156400,157400,154900,150800,150700,162100,166100,163600,159300,155200,157800,173900,172900,168200,151700,154600,158800,159900,161700,168400,167300,169100,164800,173700,180000,187800,182100,167900,168900,173500,183700,178500,177300,178300,188700,204400,203200,192200,173700,177100,182500,179800,181400,187700,194000,196500,195800,197500,199500,202700,214200,217200,215600,203900,199300,202000,203200,207700,208300,225900,230600,228800,224700,226200,233700,236000,233800,229100,218800,219900,215000
394396,"Bluefield, WV",317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84200,89300,89000,73100,74000,78300,87000,85300,71500,73700,74600,81300,84000,83600,85400,91800,89100,87500,97600,94900,95200,80800,81100,90300,85400,95400,83000,85100,81000,91000
394495,"Cookeville, TN",318,94100,97800,94200,94900,100700,96900,97700,89600,90000,91000,86600,86300,93200,99500,105900,101400,101700,98100,96600,96700,94500,97800,93200,100600,98000,107300,104700,108600,106000,97200,89000,86800,99200,101500,108200,106300,109500,108900,105800,100700,97300,98900,100600,100800,96300,96500,92700,94700,98700,98800,103000,103700,104500,105200,105700,106700,100800,101800,105200,106800,108700,109400,114400,106700,102100,100700,105300,109400,110600,111500,105800,107000,108900,116000,118000,119000,112200,109800,108800,114900,114100,111600,109600,111300,110100,107800,105000,109900,115500,116600,116300,117600,118800,120200,120300,124000,122800,123400,121600,122500,126400,126800,129900,126500,126600,127400,127300,125900,125200,124300,126800,127700,130100,133700,134400,135300,135900,140600,147400,146400,145400,144000,146000,140200,137100,138600,143400,136900,136500,134800,151100,149400,150100,144100,147700,151800,152500,151000,150600,151500,152800,155300,153400
753872,"California-Lexington Park, MD",319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,252600,252600,255900,249500,253800,256900,253800,247100,245900,245000,248000,233500,236400,235000,247400,248200,257100,247500,246100,244800,255600,256500,247000,241900,239200,237900,240900,256900,257900,245500,215600,212900,214800,225200,215000,206600,207800,219000,218500,214500,214200,231100,234400,235800,235100,234600,232100,235500,230500,237200,225700,235700,228500,236400,236600,243100,249500,254400,261300,258500,264500,262300,267200,263300,260300,264400,267400,271400,263600,257100,262000,266100,262600,257000,245900,258900,262800,277100,273200,269900,271800,272400,274100,269700,268000,268900,271000
394513,"Cumberland, MD",320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78200,79200,76900,73800,75900,78400,81600,87200,80500,83100,74900,80600,73700,75200,75100,79100,75500,76600,73700,72900,73000,68000,73000,70500,73700,67500,66800,65400,65000,62600,64600,63900,64200,65900,67400,69900,73000,79500,78600,77900,80900,75800,75000,68800,78000,80000,87300,84100,86700,86500,85300,82800,76700,78900,81000,84800,79800,76000,76100,83600,82100,81000,92000,96100,101800,88800,90000,91400,98500,98600,98100,94900,91300,83200,76600,81000,88500,
394804,"Longview, WA",321,179500,172200,167000,166300,169000,179700,174000,170300,170100,174700,170200,158700,164000,171500,178300,172400,168000,162400,155800,156400,157000,157100,151800,151700,166800,172300,168200,153300,150000,153900,155300,151700,153700,157200,159100,150700,140800,135400,136700,133700,137800,131600,138300,134000,139900,137900,136000,132700,130400,132500,135800,128700,124500,127400,136600,148400,145200,146400,139600,134800,135600,139800,147600,149600,152700,152600,154500,153300,150800,150300,157000,158400,160000,155700,161000,163800,163600,159900,160700,160400,167100,160500,164600,164700,171800,175800,177500,177500,184000,185200,185700,177500,177300,180200,182300,181300,184200,185000,187900,191200,189700,198900,199800,206600,200700,203300,205100,211700,209600,205000,202000,203000,210600,212400,213500,217000,227600,230800,229600,227600,234400,234200,229800,228900,233600,238600,242900,244600,249400,252100,247800,257400,254800,267000,255000,255500,248800,257800,263800,274000,275000,278200,286400
395222,"Whitewater, WI",322,204400,200400,186800,176000,167900,171100,175400,177800,177700,181500,177300,180000,173600,173900,169800,168800,168600,168100,169600,167000,166000,163600,169600,170000,173200,165400,164500,158200,161000,156600,154200,150900,153100,160100,162700,152900,142000,136900,140300,137400,133800,140500,149800,160200,145300,137000,133900,138500,138400,133000,132000,136700,147400,157200,153300,146000,142500,149800,149000,151900,154900,152500,145000,144200,147500,153600,148500,150700,148100,155700,153000,153200,149400,148100,153000,153200,157200,152300,150300,149100,156900,155600,159900,155300,155400,154000,157200,163000,163800,161400,161800,157700,161700,159900,165000,163400,165100,165400,170300,168100,168700,170000,179800,182300,181600,179100,177600,183300,182000,191700,185200,185600,179700,179700,180300,180700,181100,189800,199100,202100,198100,195000,192000,191300,188400,198800,201400,205700,200900,198700,192600,199400,199200,203200,205600,211100,215200,219500,222300,226000,214500,210900,215600
